"category","avg_rating","total_reviews"
"Computers&Accessories|NetworkingDevices|Routers","4.26","9"
"Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks","4.26","5"
"Computers&Accessories|ExternalDevices&DataStorage|PenDrives","4.26","10"
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges","4.25","4"
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens","4.25","2"
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables","4.25","24"
"Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters","4.25","2"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums","4.25","2"
"Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases","4.25","6"
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks","4.25","2"
"Computers&Accessories|Monitors","4.25","2"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills","4.25","2"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers","4.23","3"
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","4.21","63"
"Electronics|HomeAudio|Speakers|SoundbarSpeakers","4.2","1"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons","4.2","3"
"Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases","4.2","4"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners","4.2","3"
"Computers&Accessories|NetworkingDevices|Repeaters&Extenders","4.2","3"
"Computers&Accessories|Components|InternalHardDrives","4.2","1"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots","4.2","1"
"Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits","4.2","1"
"Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams","4.2","2"
"Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags","4.2","1"
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers","4.18","5"
